00LIVRO    LEARN LINK01
012025Marília de Dirceu                                                                                   Tomás Antônio Gonzaga                            
012025Quincas Borba                                                                                       Machado de Assis                                 
012025Os ratos                                                                                            Dyonélio Machado
012025Alguma Poesia                                                                                       Carlos Drummond de Andrade                       
012025A Ilustre Casa de Ramires                                                                           Eça de Queirós                                   
012025Nós matamos o cão tinhoso!                                                                          Luís Bernardo Honwana                            
012025Água Funda                                                                                          Ruth Guimarães                                   
012025Romanceiro da Inconfidência                                                                         Cecília Meireles                                 
012025Dois irmãos                                                                                         Milton Hatoum                                    
012026Opúsculo Humanitário                                                                                Nísia Floresta                                   
012026Nebulosas                                                                                           Narcisa Amália                                   
012026Memórias de Martha                                                                                  Julia Lopes de Almeida                           
012026Caminho de pedras                                                                                   Rachel de Queiroz                                
012026O Cristo Cigano                                                                                     Sophia de Mello Breyner Andresen                 
012026As meninas                                                                                          Lygia Fagundes Telles                            
012026Balada de amor ao vento                                                                             Paulina Chiziane                                 
012026Canção para ninar menino grande                                                                     Conceição Evaristo                               
012026A visão das plantas                                                                                 Djaimilia Pereira de Almeida                     
020000000018
